,Artist,Art Name,Date,Image Thumbnail,artist,cloud prediction
0,Asher Brown Durand,"The Declaration of Independence, July 4, 1776",1823,https://stor.artstor.org/stor/e676f1cc-b8ed-4b36-a7f2-a2f46ce08f2a_size1,durand,As
4,Asher Brown Durand,Kaaterskill Landscape,1850,https://stor.artstor.org/stor/7d7f42c3-66b4-410a-b1b3-cd06f0203da6_size1,durand,Ct
8,Asher Brown Durand,Kindred spirits,1849,https://stor.artstor.org/stor/4e029f92-5ede-498c-85e6-1788aab6106a_size1,durand,Ns
16,Asher Brown Durand,Forest in the Morning Light,1855,https://stor.artstor.org/stor/d9031fcc-b1d1-4afe-ab1e-669a7355afc3_size1,durand,Ac
20,Asher Brown Durand,A Pastoral Scene,1858,https://stor.artstor.org/stor/b5447cd0-0e12-4942-bd03-ea10d5893a47_size1,durand,Cu
24,Asher Brown Durand,Landscape with Birches,1855,https://stor.artstor.org/stor/4a117a1c-89a2-482d-8407-c0d40a368f2d_size1,durand,Sc
109,Asher Brown Durand,Specimen Sheet of Bank Note Engraving,1828,https://stor.artstor.org/stor/464be60c-2514-4679-a016-9628fdae0637_size1,durand,Ns
113,Asher Brown Durand,Musidora,1825,https://stor.artstor.org/stor/475aba2a-9585-4ba6-8eb6-c26471817038_size1,durand,As
117,Asher Brown Durand,The Falls of the Sawkill,1830,https://stor.artstor.org/stor/5767a23e-e505-4bc9-9a82-54a57a5de38a_size1,durand,As
121,Asher Brown Durand,George Jones,1833,https://stor.artstor.org/stor/07db8d7f-5090-45a3-8029-2d722d53e343_size1,durand,Cs
125,Asher Brown Durand,"$1000 Bill for The Greenwich Bank, The City of New York",1828,https://stor.artstor.org/stor/aa38982c-df79-436f-be9a-d90e58508ec1_size1,durand,As
129,Asher Brown Durand,"Honorable Willam Paulding, Mayor of the City of New York",1826,https://stor.artstor.org/stor/61181ecf-5d41-481d-ac8e-1062065652a6_size1,durand,Cc
133,Asher Brown Durand,Delaware Water Gap,1830,https://stor.artstor.org/stor/87c5ecc3-7a49-4147-8d91-37bde4987cb6_size1,durand,Cc
141,Asher Brown Durand,Ladies' Ticket of Admission to the Annual Caledonian Ball,1824,https://stor.artstor.org/stor/27c45879-52b2-409c-87ee-1fd50db34be2_size1,durand,Ac
149,Asher Brown Durand,American Eclipse,1824,https://stor.artstor.org/stor/2f732726-e09f-491e-9ead-97f4f98ffc19_size1,durand,Sc
178,Asher Brown Durand,Lindley Murray,1827,https://stor.artstor.org/stor/8eca64b0-d913-4aeb-84f6-8c0cbd9e4fd0_size1,durand,Ac
198,Asher Brown Durand,"His Excellency Oliver Wolcott, Governor of the State of Connecticut",1820,https://stor.artstor.org/stor/2819efb0-8c79-4a24-aa25-9f2b1c966b85_size1,durand,As
202,Asher Brown Durand,Jacob Brown,1834,https://stor.artstor.org/stor/e48deef4-088e-4280-8bd3-e4cf0b77597a_size1,durand,Ac
222,Asher Brown Durand,The Stranded Ship,1844,https://stor.artstor.org/stor/69c0c6b6-9024-43c6-96f7-684191b2a348_size1,durand,Ac
226,Asher Brown Durand,The Edge of the Forest,1868,https://stor.artstor.org/stor/18a23857-af7f-4f6d-855d-3ff76852f18d_size1,durand,Sc
246,Asher Brown Durand,Rip Van Winkle,1840,https://stor.artstor.org/stor/cc89e748-5b79-4762-9b45-5a5814cb19bb_size1,durand,Ac
250,Asher Brown Durand,Pastoral Landscape,1861,https://stor.artstor.org/stor/94a37d19-e506-4db6-910b-289a1a65bc12_size1,durand,Sc
254,Asher Brown Durand,"Landscape-Scene from ""Thanatopsis""",1850,https://stor.artstor.org/stor/f365c9e6-1931-428a-9895-e773190af8f9_size1,durand,Ns
274,Asher Brown Durand,The Babbling Brook,1851,https://stor.artstor.org/stor/96423b8d-a7db-442f-a162-9fe5ccf171fe_size1,durand,Sc
